,CustomerID,Amount,Frequency,Recency,Cluster_Id
0,12346.0,77183.6,1,325,1
1,12347.0,4310.0,182,1,0
2,12348.0,1797.24,31,74,0
3,12349.0,1757.55,73,18,0
4,12350.0,334.4,17,309,1
5,12352.0,2506.04,85,35,0
6,12353.0,89.0,4,203,1
7,12354.0,1079.4,58,231,1
8,12355.0,459.4,13,213,1
9,12356.0,2811.43,59,22,0
10,12357.0,6207.67,131,32,0
11,12358.0,1168.06,19,1,0
12,12359.0,6372.58,248,57,0
13,12360.0,2662.06,129,51,0
14,12361.0,189.9,10,286,1
15,12362.0,5226.23,266,2,0
16,12363.0,552.0,23,109,0
17,12364.0,1313.1,85,7,0
18,12365.0,641.38,22,290,1
19,12367.0,168.9,11,3,0
20,12370.0,3545.69,167,50,0
21,12371.0,1887.96,63,44,0
22,12372.0,1298.04,52,71,0
23,12373.0,364.6,14,310,1
24,12374.0,742.9300000000001,33,24,0
25,12375.0,457.5,17,10,0
26,12377.0,1628.12,77,314,1
27,12378.0,4008.62,219,129,0
28,12379.0,852.24,40,81,0
29,12380.0,2724.81,104,21,0
30,12381.0,1845.31,87,4,0
31,12383.0,1850.56,99,184,1
32,12384.0,585.27,27,28,0
33,12386.0,401.9,10,337,1
34,12388.0,2780.66,100,15,0
35,12390.0,549.84,32,79,0
36,12391.0,460.89,100,21,0
37,12393.0,1582.6000000000001,64,71,0
38,12394.0,1272.48,27,63,0
39,12395.0,3018.63,156,18,0
40,12397.0,2409.9,126,35,0
41,12398.0,1635.6599999999999,85,45,0
42,12399.0,1108.65,59,118,0
43,12401.0,84.3,5,302,1
44,12402.0,225.6,11,322,1
45,12403.0,427.7,5,49,0
46,12405.0,1710.39,54,148,1
47,12406.0,3415.3,105,21,0
48,12407.0,1708.1200000000001,77,49,0
49,12408.0,2888.55,105,32,0
50,12409.0,11072.67,109,78,0
51,12410.0,693.3299999999999,26,308,1
52,12412.0,1226.88,61,74,0
53,12413.0,758.1,38,66,0
54,12414.0,562.41,18,216,1
55,12415.0,124914.53,714,23,2
56,12417.0,3649.1,192,2,0
57,12418.0,668.58,34,112,0
58,12420.0,600.39,29,63,0
59,12421.0,807.04,45,15,0
60,12422.0,803.5600000000001,39,95,0
61,12423.0,1859.31,125,0,0
62,12424.0,1760.96,30,162,1
63,12425.0,777.2,36,77,0
64,12426.0,582.73,30,194,1
65,12427.0,825.8,31,21,0
66,12428.0,7956.46,294,25,0
67,12429.0,3750.4,97,8,0
68,12430.0,256.4,11,42,0
69,12431.0,6487.45,235,35,0
70,12432.0,5059.32,108,42,0
71,12433.0,13375.87,420,0,0
72,12434.0,806.14,50,84,0
73,12435.0,7829.89,36,79,0
74,12436.0,509.01,16,99,0
75,12437.0,4951.41,199,1,0
76,12438.0,2906.85,98,13,0
77,12441.0,173.55,11,366,1
78,12442.0,172.06,12,2,0
79,12444.0,5005.46,176,20,0
80,12445.0,133.4,4,21,0
81,12446.0,1002.3100000000001,57,57,0
82,12447.0,476.49,26,242,1
83,12448.0,449.45,22,43,0
84,12449.0,4067.29,191,21,0
85,12450.0,197.88,8,155,1
86,12451.0,9035.52,354,10,0
87,12452.0,430.57,22,16,0
88,12453.0,707.09,43,133,0
89,12454.0,3528.34,15,55,0
90,12455.0,2466.86,90,72,0
91,12456.0,3181.04,125,43,0
92,12457.0,2363.23,62,65,0
93,12458.0,947.4,38,70,0
94,12461.0,826.88,35,93,0
95,12462.0,1189.59,62,18,0
96,12463.0,1344.78,83,52,0
97,12464.0,1212.05,29,9,0
98,12465.0,742.1899999999999,47,16,0
99,12468.0,729.5400000000001,38,187,1
100,12471.0,19824.05,460,1,0
101,12472.0,6572.11,339,31,0
102,12473.0,3938.5499999999997,168,28,0
103,12474.0,7375.79,424,16,0
104,12475.0,723.38,36,53,0
105,12476.0,6816.42,233,15,0
106,12477.0,13219.74,300,22,0
107,12478.0,680.99,36,3,0
108,12479.0,527.2,31,10,0
109,12480.0,3281.63,154,27,0
110,12481.0,5596.32,217,22,0
111,12483.0,2484.98,75,16,0
112,12484.0,4541.72,346,32,0
113,12488.0,1298.66,55,9,0
114,12489.0,334.93,15,335,1
115,12490.0,5417.93,245,4,0
116,12491.0,460.40000000000003,26,38,0
117,12492.0,263.21000000000004,20,62,0
118,12493.0,433.74,22,165,1
119,12494.0,1246.1000000000001,77,15,0
120,12497.0,1043.1,14,81,0
121,12498.0,403.70000000000005,23,20,0
122,12500.0,4257.82,61,22,0
123,12501.0,2169.39,149,336,1
124,12502.0,3723.87,147,95,0
125,12504.0,482.04999999999995,9,17,0
126,12506.0,73.5,23,232,1
127,12507.0,1304.81,21,133,0
128,12508.0,398.27,69,25,0
129,12509.0,176.5,7,283,1
130,12510.0,982.5699999999999,33,142,1
131,12512.0,138.03,34,65,0
132,12513.0,612.29,35,112,0
133,12514.0,1017.68,51,266,1
134,12515.0,383.7,16,352,1
135,12516.0,1312.06,26,77,0
136,12517.0,2502.84,284,27,0
137,12518.0,2056.89,124,0,0
138,12519.0,340.84,18,63,0
139,12520.0,2634.26,152,78,0
140,12521.0,599.68,38,142,1
141,12522.0,192.72,12,38,0
142,12523.0,1789.77,106,18,0
143,12524.0,4485.72,144,8,0
144,12526.0,1316.66,71,0,0
145,12527.0,348.71000000000004,18,81,0
146,12528.0,1933.48,92,8,0
147,12530.0,1662.28,66,59,0
148,12531.0,125.22,17,14,0
149,12532.0,349.83000000000004,16,29,0
150,12534.0,1089.18,63,130,0
151,12535.0,716.35,34,91,0
152,12536.0,12601.830000000002,261,42,0
153,12538.0,363.95,21,28,0
154,12539.0,5568.35,273,21,0
155,12540.0,13400.24,478,19,0
156,12541.0,981.18,52,29,0
157,12544.0,372.7,19,35,0
158,12545.0,1000.39,50,74,0
159,12546.0,1161.5,69,46,0
160,12547.0,207.79999999999998,8,197,1
161,12548.0,95.19999999999999,5,165,1
162,12550.0,964.83,57,78,0
163,12551.0,168.0,10,357,1
164,12552.0,437.82,20,38,0
165,12553.0,3692.28,191,7,0
166,12556.0,603.71,121,49,0
167,12557.0,11990.960000000001,33,15,0
168,12558.0,269.96,11,7,0
169,12559.0,561.71,21,310,1
170,12560.0,2134.01,105,4,0
171,12561.0,238.85,16,302,1
172,12562.0,3781.7400000000002,168,7,0
173,12564.0,456.9,21,260,1
174,12565.0,145.92,9,288,1
175,12566.0,351.65,19,85,0
176,12567.0,9401.28,446,22,0
177,12569.0,4124.69,188,1,0
